     table_name     |        column_name         |        data_type         |  udt_name   | is_nullable |                                                      column_default                                                      
--------------------+----------------------------+--------------------------+-------------+-------------+--------------------------------------------------------------------------------------------------------------------------
 blocked_users      | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 blocked_users      | blocker_id                 | uuid                     | uuid        | NO          | 
 blocked_users      | blocked_id                 | uuid                     | uuid        | NO          | 
 blocked_users      | created_at                 | timestamp with time zone | timestamptz | YES         | now()
 blocked_users      | reason                     | text                     | text        | YES         | 
 bookings           | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 bookings           | seeker_id                  | uuid                     | uuid        | YES         | 
 bookings           | giver_id                   | uuid                     | uuid        | YES         | 
 bookings           | scheduled_time             | timestamp with time zone | timestamptz | NO          | 
 bookings           | duration_minutes           | integer                  | int4        | NO          | 
 bookings           | amount_cents               | integer                  | int4        | NO          | 
 bookings           | status                     | text                     | text        | YES         | 'pending'::text
 bookings           | stripe_payment_id          | text                     | text        | YES         | 
 bookings           | video_room_url             | text                     | text        | YES         | 
 bookings           | created_at                 | timestamp with time zone | timestamptz | YES         | now()
 bookings           | giver_joined_at            | timestamp with time zone | timestamptz | YES         | 
 bookings           | seeker_credit_earned       | boolean                  | bool        | YES         | false
 bookings           | started_at                 | timestamp with time zone | timestamptz | YES         | 
 bookings           | ended_at                   | timestamp with time zone | timestamptz | YES         | 
 bookings           | elapsed_seconds            | integer                  | int4        | YES         | 
 bookings           | end_reason                 | text                     | text        | YES         | 
 bookings           | payout_net_cents           | integer                  | int4        | YES         | 
 bookings           | refund_gross_cents         | integer                  | int4        | YES         | 
 bookings           | payout_status              | text                     | text        | YES         | 
 bookings           | session_intention          | text                     | text        | YES         | 
 credits            | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 credits            | user_id                    | uuid                     | uuid        | NO          | 
 credits            | amount_cents               | integer                  | int4        | NO          | 
 credits            | created_at                 | timestamp with time zone | timestamptz | YES         | now()
 credits            | used_at                    | timestamp with time zone | timestamptz | YES         | 
 credits            | booking_id                 | uuid                     | uuid        | YES         | 
 credits            | source_booking_id          | uuid                     | uuid        | YES         | 
 credits            | reason                     | text                     | text        | YES         | 
 extensions         | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 extensions         | booking_id                 | uuid                     | uuid        | NO          | 
 extensions         | extended_at                | timestamp with time zone | timestamptz | YES         | now()
 extensions         | amount_cents               | integer                  | int4        | NO          | 
 extensions         | stripe_payment_intent_id   | text                     | text        | YES         | 
 extensions         | requested_by               | uuid                     | uuid        | YES         | 
 extensions         | requested_at               | timestamp with time zone | timestamptz | YES         | 
 extensions         | giver_response             | text                     | text        | YES         | 
 extensions         | giver_responded_at         | timestamp with time zone | timestamptz | YES         | 
 extensions         | status                     | text                     | text        | NO          | 'pending'::text
 extensions         | created_at                 | timestamp with time zone | timestamptz | YES         | now()
 giver_availability | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 giver_availability | giver_id                   | uuid                     | uuid        | NO          | 
 giver_availability | date                       | date                     | date        | NO          | 
 giver_availability | time                       | time without time zone   | time        | NO          | 
 giver_availability | is_booked                  | boolean                  | bool        | YES         | false
 giver_availability | created_at                 | timestamp with time zone | timestamptz | YES         | now()
 giver_metrics      | id                         | uuid                     | uuid        | NO          | gen_random_uuid()
 giver_metrics      | giver_id                   | uuid                     | uuid        | NO          | 
