     tablename      |                  indexname                   |                                                              indexdef                                                              
--------------------+----------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------
 qualities_received | qualities_received_pkey                      | CREATE UNIQUE INDEX qualities_received_pkey ON public.qualities_received USING btree (id)
 qualities_received | qualities_received_giver_id_quality_name_key | CREATE UNIQUE INDEX qualities_received_giver_id_quality_name_key ON public.qualities_received USING btree (giver_id, quality_name)
 reflections        | reflections_pkey                             | CREATE UNIQUE INDEX reflections_pkey ON public.reflections USING btree (id)
 user_profiles      | user_profiles_pkey                           | CREATE UNIQUE INDEX user_profiles_pkey ON public.user_profiles USING btree (id)
 giver_availability | giver_availability_pkey                      | CREATE UNIQUE INDEX giver_availability_pkey ON public.giver_availability USING btree (id)
 giver_availability | giver_availability_giver_id_date_time_key    | CREATE UNIQUE INDEX giver_availability_giver_id_date_time_key ON public.giver_availability USING btree (giver_id, date, "time")
 giver_availability | idx_giver_availability_giver                 | CREATE INDEX idx_giver_availability_giver ON public.giver_availability USING btree (giver_id)
 giver_availability | idx_giver_availability_date                  | CREATE INDEX idx_giver_availability_date ON public.giver_availability USING btree (date)
 giver_metrics      | giver_metrics_pkey                           | CREATE UNIQUE INDEX giver_metrics_pkey ON public.giver_metrics USING btree (id)
 giver_metrics      | giver_metrics_giver_id_key                   | CREATE UNIQUE INDEX giver_metrics_giver_id_key ON public.giver_metrics USING btree (giver_id)
 profiles           | profiles_pkey                                | CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
 profiles           | profiles_email_key                           | CREATE UNIQUE INDEX profiles_email_key ON public.profiles USING btree (email)
 extensions         | extensions_pkey                              | CREATE UNIQUE INDEX extensions_pkey ON public.extensions USING btree (id)
 listing_categories | listing_categories_pkey                      | CREATE UNIQUE INDEX listing_categories_pkey ON public.listing_categories USING btree (id)
 listing_categories | listing_categories_listing_id_category_key   | CREATE UNIQUE INDEX listing_categories_listing_id_category_key ON public.listing_categories USING btree (listing_id, category)
 saved_givers       | saved_givers_pkey                            | CREATE UNIQUE INDEX saved_givers_pkey ON public.saved_givers USING btree (id)
 saved_givers       | saved_givers_seeker_id_giver_id_key          | CREATE UNIQUE INDEX saved_givers_seeker_id_giver_id_key ON public.saved_givers USING btree (seeker_id, giver_id)
 listings           | listings_pkey                                | CREATE UNIQUE INDEX listings_pkey ON public.listings USING btree (id)
 session_milestones | session_milestones_pkey                      | CREATE UNIQUE INDEX session_milestones_pkey ON public.session_milestones USING btree (id)
 session_milestones | idx_session_milestones_booking               | CREATE INDEX idx_session_milestones_booking ON public.session_milestones USING btree (booking_id)
 session_milestones | idx_session_milestones_event_type            | CREATE INDEX idx_session_milestones_event_type ON public.session_milestones USING btree (event_type)
 session_milestones | idx_session_milestones_created_at            | CREATE INDEX idx_session_milestones_created_at ON public.session_milestones USING btree (created_at)
 session_states     | session_states_pkey                          | CREATE UNIQUE INDEX session_states_pkey ON public.session_states USING btree (id)
 session_states     | session_states_booking_id_key                | CREATE UNIQUE INDEX session_states_booking_id_key ON public.session_states USING btree (booking_id)
 session_states     | idx_session_states_booking                   | CREATE INDEX idx_session_states_booking ON public.session_states USING btree (booking_id)
 session_states     | idx_session_states_phase                     | CREATE INDEX idx_session_states_phase ON public.session_states USING btree (current_phase)
 blocked_users      | blocked_users_pkey                           | CREATE UNIQUE INDEX blocked_users_pkey ON public.blocked_users USING btree (id)
 blocked_users      | blocked_users_blocker_id_blocked_id_key      | CREATE UNIQUE INDEX blocked_users_blocker_id_blocked_id_key ON public.blocked_users USING btree (blocker_id, blocked_id)
 blocked_users      | idx_blocked_users_blocker                    | CREATE INDEX idx_blocked_users_blocker ON public.blocked_users USING btree (blocker_id)
 blocked_users      | idx_blocked_users_blocked                    | CREATE INDEX idx_blocked_users_blocked ON public.blocked_users USING btree (blocked_id)
 bookings           | bookings_pkey                                | CREATE UNIQUE INDEX bookings_pkey ON public.bookings USING btree (id)
 bookings           | idx_bookings_video_room_url                  | CREATE INDEX idx_bookings_video_room_url ON public.bookings USING btree (video_room_url)
 bookings           | idx_bookings_payout_status                   | CREATE INDEX idx_bookings_payout_status ON public.bookings USING btree (payout_status)
 bookings           | idx_bookings_end_reason                      | CREATE INDEX idx_bookings_end_reason ON public.bookings USING btree (end_reason)
 credits            | credits_pkey                                 | CREATE UNIQUE INDEX credits_pkey ON public.credits USING btree (id)
 credits            | idx_credits_user_id                          | CREATE INDEX idx_credits_user_id ON public.credits USING btree (user_id)
 credits            | idx_credits_unused                           | CREATE INDEX idx_credits_unused ON public.credits USING btree (user_id) WHERE (used_at IS NULL)
(37 rows)

